source,target
PRKCA,PLD2
PRKCA,SRC
PRKCA,GNAS
G6PC,CREB1
SMAD9,SMURF2
SMAD9,CAV1
SMAD9,ACVR2B
SMAD9,SMAD4
HECTD1,RLIM
HECTD1,SMURF2
HECTD1,CUL3
HECTD1,FBXW7
HECTD1,SOCS3
HECTD1,TRIM4
HECTD1,UFL1
SMURF2,RLIM
SMURF2,SMAD2
SMURF2,SMAD4
SMURF2,CUL3
SMURF2,FBXW7
SMURF2,ACVR2B
SMURF2,UFL1
SMURF2,TRIM4
SUMO1,ATM
SUMO1,NUP50
SUMO1,ZEB1
CAV1,SMAD2
CAV1,E2F1
CAV1,SRC
CUL3,RLIM
CUL3,SOCS3
CUL3,TRIM4
CUL3,FBXW7
CUL3,UFL1
SMAD2,SMAD4
SMAD2,ACVR2B
SRC,PIK3CA
SRC,IGF1R
SRC,KHDRBS1
SRC,VEGFA
SRC,ABL1
SRC,MAPK8
PIK3CA,EDNRA
PIK3CA,IGF1R
PIK3CA,CREB1
PIK3CA,VEGFA
SOCS3,RLIM
SOCS3,FBXW7
RNF41,TRIM4
UFL1,RLIM
EDNRA,MAPK8
EDNRA,GNAS
ACVR2B,SMAD4
CREB1,PRKACB
CREB1,VEGFA
FZD2,MAPK8
ENAH,ABL1
TRIM4,RLIM
TRIM4,FBXW7
MAPK8,ATM
MAPK8,ABL1
ATM,E2F1
ATM,ABL1
PRKACB,IGF1R
PRKACB,GNAS
FBXW7,RLIM
SMAD4,SNAI1
CXCL8,VEGFA
IGF1R,VEGFA
ABL1,E2F1
