source,target
GNAI2,ADCY3
GNAI2,GNB2
TFDP2,CDKN1B
TFDP2,MCL1
GNB2,ADCY3
GNB2,AKT1
GNB2,PRKCA
GNB2,MAPK11
TNS1,ACTN1
TNS1,PARVA
POLR2E,DDB1
POLR2E,ELAVL1
POLR2E,SRSF10
POLR2E,CD2BP2
POLR2E,SF3B3
POLR2E,SP1
POLR2E,POLR3H
POLR2E,COPS7B
RNF4,LRSAM1
RNF4,ASB13
TRPC4AP,CDKN1B
TRPC4AP,FBXW5
TRPC4AP,DDB1
MAPK11,TSC2
MAPK11,SP1
MAPK11,DUSP8
MAPK11,MAP3K3
MRPS14,MRPS36
MRPS14,PLEC
MRPS14,MRPS16
NFIX,POLR3H
MRPS16,MRPS36
BAK1,BAX
BAK1,BID
BAK1,MCL1
BAK1,BCL2L11
COPS7B,TOR1B
COPS7B,DDB1
RRAGD,TSC2
RRAGD,AKT1
BAX,AKT1
BAX,BCL2L11
BAX,BID
BAX,CASP8
BAX,MCL1
BAX,BBC3
BAX,SP1
PARVA,AKT1
TSC2,AKT1
FBXW5,CDKN1B
FBXW5,LRSAM1
FBXW5,DDB1
FBXW5,FBXO31
CDKN1B,DDB1
CDKN1B,AKT1
NOS1,PRKCA
SP1,PPARA
SP1,BBC3
NFIC,POLR3H
CTSA,CTSD
BCL2L11,AKT1
BCL2L11,BID
BCL2L11,MCL1
BCL2L11,BBC3
MCL1,AKT1
MCL1,BBC3
LRSAM1,ASB13
PPARA,FADS1
BBC3,BID
BID,CTSD
BID,CASP8
PLEC,CASP8
PRKCA,LPIN2
PRKCA,ELAVL1
SF3B3,CD2BP2
SF3B3,ELAVL1
SRSF10,CD2BP2
CD2BP2,ELAVL1
