source,target
SP100,IRF2
VPS37A,UBC
AHI1,DCTN2
AHI1,PAFAH1B1
MDC1,ATM
MDC1,RNF4
MDC1,UBC
RNF4,RLIM
RNF4,ATM
RNF4,UBC
RNF4,UBE2G1
TAOK1,CKAP5
TAOK1,PAFAH1B1
TAOK1,ATM
CDCA5,CKAP5
UBE2G1,RLIM
UBE2G1,UBC
CKAP5,PAFAH1B1
CKAP5,DCTN2
LIN54,PCNA
SMAD3,NR3C1
SMAD3,SMAD2
SMAD3,RUNX1
SMAD3,UBC
SMAD3,WWTR1
SMAD3,SMAD4
PCNA,ATM
PCNA,UBC
PCNA,VCP
IRF2,NR3C1
UBC,RLIM
UBC,SMAD2
UBC,RAB5A
UBC,ATM
UBC,SMAD4
UBC,RAB5C
UBC,VCP
NR3C1,SMAD4
NR3C1,NCOA3
NR3C1,PELP1
NCOA6,NCOA3
SEC24B,CANX
NCOA3,THRA
SMAD2,SAR1A
SMAD2,SMAD4
SMAD2,WWTR1
CANX,VCP
DCTN2,PAFAH1B1
SMAD4,RUNX1
SMAD4,WWTR1
WWTR1,STK4
RAB5A,RAB5C
