source,target
POLD3,PRIM1
POLD3,GTF2H3
PRKCA,ELK1
PRKCA,GNB5
PRKCA,STAT5B
ACOX1,CPT1A
ACOX1,ACSL6
ACOX1,SP1
SP1,MAPK13
SP1,EP300
SP1,CPT1A
SP1,MMP14
SP1,NFYA
EP300,GTF2H3
EP300,GATAD2B
EP300,CPT1A
EP300,MED16
EP300,VEGFA
EP300,PPIE
EP300,STAT5B
EP300,HIST1H2BJ
EP300,CREB1
MASTL,PPP2CB
CENPM,MIS18A
CENPM,RANGAP1
S1PR1,VEGFA
ETV3,RBL1
ACSL6,CPT1A
CISH,STAT5B
CREB1,MAPK13
CREB1,VEGFA
RBL1,PPP2CB
RBL1,CDK2
QSOX1,VEGFA
PPIE,GTF2H3
NME6,PRIM1
PPP2CB,CYCS
PPP2CB,RANGAP1
PPP2CB,PPP2R3A
PRIM1,CDK2
SCO1,CYCS
GTF2H3,CDK2
CDK2,HIST1H2BJ
PPP2R3A,CYCS
